attributes_objectid,attributes_facility_id,attributes_facility_name,attributes_facility_address1,attributes_facility_address2,attributes_facility_city,attributes_facility_state,attributes_facility_zip,attributes_county_id,attributes_facility_county,attributes_municipality_id,attributes_facility_municipality,attributes_reg_expiration_date,attributes_tank_owner_id,attributes_tank_owner_name,attributes_tank_owner_address1,attributes_tank_owner_address2,attributes_tank_owner_city,attributes_tank_owner_state,attributes_tank_owner_zip,attributes_primary_facility_id,attributes_site_id,attributes_tank_information,.source,.downloaded_at
7516,05-63112,MOMS CENTERVILLE ONE STOP,4341 BEDFORD VALLEY RD,,BEDFORD,PA,15522-5701,2412,Bedford,270,Cumberland Valley Twp,,394192,BEDFORD VALLEY PIT STOP,4341 BEDFORD VALLEY RD,,BEDFORD,PA,15522-5701,579482,454344,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=05-63112&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
7517,06-00892,READING AVIATION,READING REG AIRPORT,2365 BERNVILLE RD,READING,PA,19605,2413,Berks,321,Bern Twp,1780531200000,87485,READING REG AIRPORT AUTH,2385 BERNVILLE RD,,READING,PA,19605-9400,579531,564421,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=06-00892&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
7518,09-43610,LUKOIL 69206,4613 E STREET RD,,TREVOSE,PA,19053-6630,2416,Bucks,457,Bensalem Twp,1801699200000,294639,LUKOIL NORTH AMER LLC,302 HARPER DR STE 303,,MOORESTOWN,NJ,08057-4701,583286,567187,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=09-43610&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
7519,09-43847,RICHBORO JR HIGH SCH,98 UPPER HOLLAND RD,,RICHBORO,PA,18954-1537,2416,Bucks,490,Northampton Twp,1770163200000,40468,COUNCIL ROCK SCH DIST,251 TWINING FORD RD,,RICHBORO,PA,18954-1843,583320,567211,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=09-43847&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
7520,09-43951,FUTURE FOAM,259 CANAL RD,,FAIRLESS HILLS,PA,19030-4305,2416,Bucks,455,Falls Twp,1770163200000,268253,FUTURE FOAM INC,1610 AVENUE N,,COUNCIL BLUFFS,IA,51501-1071,583340,258657,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=09-43951&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
7521,09-45023,WARRINGTON CTL OFC,1412 STUCKERT RD,,WARRINGTON,PA,18976-1527,2416,Bucks,503,Warrington Twp,1801699200000,87568,VERIZON PENNSYLVANIA LLC,900 RACE ST,,PHILADELPHIA,PA,19107-2407,583503,567364,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=09-45023&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
7522,09-45242,ONEIL NISSAN,849 W STREET RD,,WARMINSTER,PA,18974-3126,2416,Bucks,460,Warminster Twp,1801699200000,396577,ONEIL NISSAN INC,849 W STREET RD,,WARMINSTER,PA,18974-3126,583547,512183,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=09-45242&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
7523,09-46007,NEWTOWN ARTESIAN WATER CO FREEDOM DRIVE PUMP,402 FREEDOM DR,,NEWTOWN,PA,18940,2416,Bucks,487,Newtown Boro,,34505,NEWTOWN ARTESIAN WATER CO,PO BOX 217,,NEWTOWN,PA,18940-0217,583677,247342,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=09-46007&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
7524,09-46275,BUCKS CNTY TRANSP,2444 DURHAM RD,,BRISTOL,PA,19007-6902,2416,Bucks,454,Bristol Twp,1770163200000,183993,BUCKS CNTY TRANSP INC,PO BOX 510,,HOLICONG,PA,18928-0510,583722,567520,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=09-46275&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
7525,09-46298,WARMINSTER TWP PUBLIC WORKS,910 W BRISTOL RD,,WARMINSTER,PA,18974-2150,2416,Bucks,460,Warminster Twp,1770163200000,128141,WARMINSTER TWP BUCKS CNTY,401 GIBSON AVE,,WARMINSTER,PA,18974-4121,583728,507344,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=09-46298&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
7526,15-25501,GREAT VALLEY MAINT GARAGE,2060 CHARLESTOWN RD,,MALVERN,PA,19355-9673,2422,Chester,706,Charlestown Twp,1770163200000,94696,GREAT VALLEY SCH DIST,301 LINDENWOOD DR STE 210,,MALVERN,PA,19355-1774,586128,569338,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=15-25501&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
7527,15-28959,OXFORD CITGO,216 S 3RD ST,,OXFORD,PA,19363-1728,2422,Chester,699,Oxford Boro,1801699200000,290164,OXFORD ADP LLC,216 S 3RD ST,,OXFORD,PA,19363-1728,586179,569371,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=15-28959&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
7528,15-30709,SINGH CONVENIENCE STORE,158 STRODE AVE,,COATESVILLE,PA,19320-3034,2422,Chester,694,Coatesville City,1801699200000,329473,GAIND NEERAJ,158 STRODE AVE,,COATESVILLE,PA,19320-3034,586219,569402,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=15-30709&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
7529,15-32301,WEST BRANDYWINE TWP BLDG,199 LAFAYETTE RD,,COATESVILLE,PA,19320-1230,2422,Chester,753,West Brandywine Twp,1801699200000,87522,WEST BRANDYWINE TWP CHESTER CNTY,198 LAFAYETTE RD,,COATESVILLE,PA,19320-1231,586264,569434,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=15-32301&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
7530,23-01112,TRANSP DEPT,230 KING OF PRUSSIA RD,,RADNOR,PA,19087-5220,2430,Delaware,1053,Radnor Twp,1770163200000,141417,RADNOR TWP SCH DIST,135 S WAYNE AVE,,WAYNE,PA,19087-4117,590768,572987,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=23-01112&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
7531,23-06820,PRIMOS FUEL,600 S OAK AVE,,SECANE,PA,19018-3653,2430,Delaware,1043,Upper Darby Twp,1801699200000,389779,PRIMOS FUEL LLC,1200 LAUREL OAK RD,,VOORHEES,NJ,08043-4323,590830,515211,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=23-06820&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
7532,23-09114,SPRINGFIELD EASTCOAST,661 W SPRINGFIELD RD,,SPRINGFIELD,PA,19064,2430,Delaware,1045,Springfield Twp,1801699200000,213832,AL & MIKE IND INC,2201 FEDERAL ST,,CAMDEN,NJ,08105-1928,590856,573041,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=23-09114&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
7533,23-09550,CROZER CHESTER MED CTR,1 MEDICAL CENTER BLVD,,CHESTER,PA,19013-3902,2430,Delaware,1072,Upland Boro,1770163200000,328594,PROSPECT CCMC LLC,10780 SANTA MONICA BLVD STE 400,,LOS ANGELES,CA,90025-7616,590866,254675,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=23-09550&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
7534,23-10126,FORMER PHILA SEAPLANE BASE,97 WANAMAKER AVE,,ESSINGTON,PA,19029-1424,2430,Delaware,1088,Tinicum Twp,1770163200000,51570,TINICUM TWP DELAWARE CNTY,97 WANAMAKER AVE,,ESSINGTON,PA,19029-1424,590870,573051,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=23-10126&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
7535,26-38084,KESLAR LUMBER,884 BUCHANAN RD,,WHITE,PA,15490-1000,2433,Fayette,1174,Saltlick Twp,1791072000000,167302,KESLAR LUMBER CO,884 BUCHANAN RD,,WHITE,PA,15490-1000,593176,574732,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=26-38084&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
7536,28-05161,PENSINGERS SVC STA,123 PATH VALLEY RD,,FORT LOUDON,PA,17224,2435,Franklin,1209,Peters Twp,1780531200000,164976,PENSINGERS SVC STA,PO BOX 100,,FORT LOUDON,PA,17224-0100,593504,575011,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=28-05161&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
7537,36-62075,MARTIN FARMS,250 ROYER RD,,EPHRATA,PA,17522-9599,2443,Lancaster,1462,Ephrata Twp,1780531200000,291900,MARTIN FARMS,270 ROYER RD,,EPHRATA,PA,17522-9599,597599,578297,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=36-62075&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
7539,36-62410,HERRS MKT,1406 RIVER RD,,MARIETTA,PA,17547-9776,2443,Lancaster,1454,East Donegal Twp,1780531200000,312086,MOKSHA REAL ESTATE LLC,1406 RIVER RD,,MARIETTA,PA,17547-9776,597677,578356,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=36-62410&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
7540,36-63363,MEADOW SPRING FARMS,340 W MEADOW VALLEY RD,,LITITZ,PA,17543,2443,Lancaster,1462,Ephrata Twp,1780531200000,170870,MEADOW SPRING FARMS LLC,340 W MEADOW VALLEY RD,,LITITZ,PA,17543,598001,578621,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=36-63363&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
7541,36-63800,TURKEY HILL 212,3585 ROTHSVILLE RD,,EPHRATA,PA,17522-2906,2443,Lancaster,1434,Ephrata Boro,1780531200000,343443,EG GROUP,165 FLANDERS RD,,WESTBOROUGH,MA,01581-1032,598108,578709,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=36-63800&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
7543,37-05168,BALDELLI REALTY HOLDING LLC,330 SIMS ST,,ELLWOOD CITY,PA,16117-3825,2444,Lawrence,213,Ellwood City Boro,1796342400000,372105,BALDELLI REALTY HOLDING LLC,330 SIMS ST,,ELLWOOD CITY,PA,16117-3825,598322,578882,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=37-05168&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
7544,40-52310,PAWC WWTP,1799 JUMPER RD,,WILKES BARRE,PA,18702-8032,2447,Luzerne,1615,Jenkins Twp,1775260800000,87712,PA AMER WATER CO,852 WESLEY DR,,MECHANICSBURG,PA,17055-4436,601493,581475,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=40-52310&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
7545,41-02547,FRY BROS TURKEY RANCH,19919 S ROUTE 15,,TROUT RUN,PA,17771,2448,Lycoming,1654,Cogan House Twp,1785801600000,343166,FRY BROSTURKEY RANCH LLC,25 STATE ROUTE 184,,TROUT RUN,PA,17771-8309,601567,581542,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=41-02547&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
7546,41-15445,POWERFUEL AND C STORE,1 N MAIN ST,,HUGHESVILLE,PA,17737-1505,2448,Lycoming,1662,Hughesville Boro,1785801600000,356034,JAY MA LAXMI LLC,1 N MAIN ST,,HUGHESVILLE,PA,17737-1505,601667,581623,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=41-15445&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
7547,46-23945,NORRISTON FUELS 67437,301 E JOHNSON HWY,,NORRISTOWN,PA,19401-2020,2453,Montgomery,1803,Norristown Boro,1770163200000,333267,RAMOCO MARKETING GROUP LLC,po box 2218,,PRINCETON,NJ,08543,604433,583699,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=46-23945&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
7548,46-24272,AMBLER BORO MUNI GARAGE,126 GREENWOOD AVE,,AMBLER,PA,19002-4705,2453,Montgomery,1809,Ambler Boro,1738627200000,28586,AMBLER BORO MONTGOMERY CNTY,131 ROSEMARY AVE,,AMBLER,PA,19002-4737,604444,583709,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=46-24272&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
7549,51-15704,ESSINGTON BP,6600 ESSINGTON AVE,,PHILADELPHIA,PA,19153-3417,2458,Philadelphia,1975,Philadelphia City,1801699200000,259717,CARROLL INDEPENDENT FUEL LLC,18 LOVETON CIR,,SPARKS GLENCOE,MD,21152-9202,608249,586528,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=51-15704&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
7550,51-16976,ATLANTIC AVIATION SVC,8375 ENTERPRISE AVE,,PHILADELPHIA,PA,19153,2458,Philadelphia,1975,Philadelphia City,1801699200000,160256,ATLANTIC AVIATION CORP,131 CONTINENTAL DR STE 409,CHRISTIANA EXEC CAMPUS,NEWARK,DE,19713,608274,586545,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=51-16976&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
7551,51-17488,ORCHARD CTL OFC SVC CTR,2210 LOTT ST,,PHILADELPHIA,PA,19115-3332,2458,Philadelphia,1975,Philadelphia City,1801699200000,87568,VERIZON PENNSYLVANIA LLC,900 RACE ST,,PHILADELPHIA,PA,19107-2407,608287,586553,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=51-17488&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
7552,51-17538,WASH & FILL UP,7111 STENTON AVE,,PHILADELPHIA,PA,19138,2458,Philadelphia,1975,Philadelphia City,1770163200000,186524,WASH & FILL UP INC,7111 STENTON AVE,,PHILADELPHIA,PA,19138,608297,586561,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=51-17538&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
7553,56-13535,LAUREL HILL STATE PARK,1454 LAUREL HILL PARK RD,,SOMERSET,PA,15501-5629,2463,Somerset,2129,Jefferson Twp,1791072000000,65615,PA DCNR PARK REG 3,195 PARK RD,,PROSPECT,PA,16052-2013,611664,3858,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=56-13535&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
7554,56-18758,SOMERSET TOWERS,126 W CHURCH ST,,SOMERSET,PA,15501,2463,Somerset,2108,Somerset Boro,1791072000000,191409,SOMERSET ASSOC,3555 WASHINGTON RD,,MCMURRAY,PA,15317-2952,611693,589275,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=56-18758&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
7555,56-25671,SHAFFER OIL,409 19TH ST,,WINDBER,PA,15963-2001,2463,Somerset,2109,Windber Boro,1791072000000,190591,SHAFFER OIL CO,409 19TH ST,,WINDBER,PA,15963-2001,611739,589305,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=56-25671&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
7556,56-25672,SHAFFER OIL,405 HILLSIDE DR,,WINDBER,PA,15963,2463,Somerset,2142,Paint Twp,1791072000000,190591,SHAFFER OIL CO,409 19TH ST,,WINDBER,PA,15963-2001,611740,589306,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=56-25672&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
7557,67-26969,RUTTERS 39,179 W MAIN ST,,WINDSOR,PA,17366-9692,2474,York,2566,Windsor Twp,1780531200000,549,CHR CORP,2295 Susquehanna Trail,Suite C,YORK,PA,17404,616098,592761,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=67-26969&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
7558,67-27135,HANOVER PUBLIC WORKS,139 NORTH ST,,HANOVER,PA,17331-2265,2474,York,2502,Hanover Boro,1780531200000,92320,HANOVER BORO YORK CNTY,44 FREDERICK ST,,HANOVER,PA,17331-3501,616108,592767,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=67-27135&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
7559,67-27240,VERIZON,839 W BROADWAY,,RED LION,PA,17356-1915,2474,York,2505,Red Lion Boro,1780531200000,87568,VERIZON PENNSYLVANIA LLC,900 RACE ST,,PHILADELPHIA,PA,19107-2407,616120,592778,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=67-27240&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
7561,67-34848,TURKEY HILL 217,2 W MAIN ST,,DALLASTOWN,PA,17313-1601,2474,York,2504,Dallastown Boro,1780531200000,343443,EG GROUP,165 FLANDERS RD,,WESTBOROUGH,MA,01581-1032,616228,592864,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=67-34848&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
7562,67-35208,CONEWAGO TWP SEW AUTH,600 LOCUST POINT RD,,YORK,PA,17404,2474,York,2510,Conewago Twp,1780531200000,3571,CONEWAGO TWP SEW AUTH YORK CNTY,600 LOCUST POINT RD,,YORK,PA,17406-6056,616246,592878,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=67-35208&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
7563,67-35274,1230 ROOSEVELT AVE,1230 ROOSEVELT AVE,,YORK,PA,17404-2206,2474,York,2563,West Manchester Twp,1780531200000,331964,1230 ROOSEVELT AVE LLC,950 SMILE WAY,,YORK,PA,17404-1725,616247,592879,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=67-35274&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
7564,67-36117,WGAL TRANSMITTER,1320 TOWER RD,,HELLAM,PA,17406,2474,York,2529,Hellam Twp,1780531200000,191626,WGAL TV INC,1300 COLUMBIA AVE,,LANCASTER,PA,17603-4765,616294,592921,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=67-36117&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
7565,02-31614,FIFTH MAINT DIV,HASSLER ST,,PITTSBURGH,PA,15220,2409,Allegheny,35,Pittsburgh  City,1791072000000,76778,PGH CITY ALLEGHENY CNTY,414 GRANT ST,,PITTSBURGH,PA,15219-2409,576536,562026,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=02-31614&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
7566,02-32636,UNIVAR SOLUTIONS USA LLC BUNOLA BRANCH,328 BUNOLA RIVER RD,,BUNOLA,PA,15020,2409,Allegheny,127,Forward Twp,1791072000000,32864,UNIVAR SOLUTIONS USA LLC,3075 HIGHLAND PKWY STE 200,,DOWNERS GROVE,IL,60515-5560,576589,258699,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=02-32636&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
7567,02-34531,AMER AIRLINES,US AIRWAYS SUPPORT SVC BLDG,,PITTSBURGH,PA,15231,2409,Allegheny,126,Findlay Twp,1759536000000,169641,AMER AIRLINES INC,4333 AMON CARTER BLVD,MD5285,FORT WORTH,TX,76155-2605,576599,237072,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=02-34531&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
7568,02-38028,PNC PLAZA,1 PNC PLZ,,PITTSBURGH,PA,15222,2409,Allegheny,35,Pittsburgh  City,1791072000000,184444,PNC BANK NA,620 LIBERTY AVE,,PITTSBURGH,PA,15222-2722,576780,562220,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=02-38028&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
7569,02-38292,AIR GROUND XPRESS,55 MATCHETTE RD,,CLINTON,PA,15026-1790,2409,Allegheny,126,Findlay Twp,1791072000000,188092,AIR GROUND XPRESS INC,55 MATCHETTE RD,,CLINTON,PA,15026-1790,576803,562242,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=02-38292&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
7571,67-33166,ROYAL FARMS 118,103 CARLISLE ST,,HANOVER,PA,17331,2474,York,2502,Hanover Boro,1780531200000,249387,TWO FARMS INC,3611 ROLAND AVE,,BALTIMORE,MD,21211-2408,739721,592724,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=67-33166&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
7572,02-33190,PIT AIRPORT GUT ALS,PITTSBURGH INTERNATIONAL AIRPORT GUT ALS,,CORAOPOLIS,PA,15108,2409,Allegheny,126,Findlay Twp,1759536000000,140262,FED AVIATION ADMIN,1187 THORN RUN EXT,BOX 7,CORAOPOLIS,PA,16830-0004,740974,747351,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=02-33190&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
7573,08-33227,BRADFORD CNTY QUARRY,RTE 6 MAIN ST,,TOWANDA,PA,18848,2415,Bradford,411,Burlington Boro,1785801600000,8338,GLENN O HAWBAKER INC,1952 WADDLE RD STE 203,,STATE COLLEGE,PA,16803-1649,742584,745684,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=08-33227&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
7574,10-06905,SENECA LDFL,421 HARTMANN RD,,EVANS CITY,PA,16033-3211,2417,Butler,539,Jackson Twp,1796342400000,25747,SENECA LDFL INC,PO BOX 1080,120 HUTCHMAN ROAD,MARS,PA,16046-1080,583847,3091,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=10-06905&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
7576,10-20893,LAWHEADS SVC STA,1347 W SUNBURY RD,,WEST SUNBURY,PA,16061-2931,2417,Butler,522,Clay Twp,1796342400000,383584,LAWHEADS SVC STA LLC,100 TORI LN,,BUTLER,PA,16001-9796,584024,567752,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=10-20893&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
7577,10-91140,AIRQUEST AVIATION,485 AIRPORT RD,,BUTLER,PA,16002-7633,2417,Butler,550,Penn Twp,1796342400000,236207,AIRQUEST AVIATION LP,485 AIRPORT RD,,BUTLER,PA,16002-7633,584316,567954,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=10-91140&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
7578,15-37541,PAARNG SPRING CITY ARMORY,111 ARMORY DR,,SPRING CITY,PA,19475-1237,2422,Chester,717,East Vincent Twp,1801699200000,13067,PA DEPT OF MILITARY & VETERANS AFFAIRS,FORT INDIANTOWN GAP,,ANNVILLE,PA,17003,586367,505845,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=15-37541&P_ZIP=%,emappa_active,2025-12-31T20:10:20Z
